"Pod","CPU Ø (m)","CPU P95 (m)","CPU Max (m)","Mem Ø (MiB)","Mem P95 (MiB)","Mem Max (MiB)","Disk Read Ø (MiB/s)","Disk Write Ø (MiB/s)","Disk Write Max (MiB/s)","Net RX Ø (MiB/s)","Net TX Ø (MiB/s)","Net TX Max (MiB/s)"
prometheus-server-554d4cd447-x86gs,1.15,1.54,1.59,55.4,57.1,101,0,0.00122,0.00732,0.00181,0.000247,0.000257
opensearch-cluster-masters-2,9.66,12.2,13.2,1988,1988,1988,0,0.00592,0.0107,0.00288,0.0122,0.0131
grafana-764dd9c4b8-ffn64,4.04,4.22,4.36,106,106,106,0,0.000931,0.00106,0.000135,0.00147,0.00161
opensearch-cluster-dashboards-5954b464c6-mpwsx,0.884,1.48,1.50,195,195,195,0,0,0,0.000804,0.000832,0.000841
opensearch-cluster-masters-0,10.1,11.9,12.4,1995,1998,1999,0,0.00574,0.00826,0.0230,0.00543,0.00645
opensearch-cluster-masters-1,7.33,7.96,8.23,1970,1970,1970,0,0.00285,0.00369,0.00250,0.0113,0.0115
jaeger-7ff57964dd-ngvqv,1.90,2.25,2.58,131,132,157,0,0,0,0.0000915,0.000108,0.000116
