"Pod","CPU Ø (m)","CPU P95 (m)","CPU Max (m)","Mem Ø (MiB)","Mem P95 (MiB)","Mem Max (MiB)","Disk Read Ø (MiB/s)","Disk Write Ø (MiB/s)","Disk Write Max (MiB/s)","Net RX Ø (MiB/s)","Net TX Ø (MiB/s)","Net TX Max (MiB/s)"
victoria-metrics-victoria-metrics-operator-769bc8b746-f2frs,2.59,2.72,2.77,49.2,51.7,52.2,,,,0.00249,0.000864,0.000989
vmalert-victoria-metrics-victoria-metrics-k8s-stack-7b7f66vnlhh,4.63,4.69,4.70,37.7,37.7,37.7,0,0,0,0.00810,0.0129,0.0131
vmsingle-victoria-metrics-victoria-metrics-k8s-stack-8445fdhsmp,6.37,6.45,6.49,61.3,62.9,63.5,0.000658,0.00721,0.00844,0.0159,0.00792,0.00799
vlsingle-victorialogs-757677f7cd-hl8q6,2.04,2.38,2.47,118,133,134,0.00129,0.0242,0.0288,0.00204,0.00176,0.00218
vtsingle-victoriatraces-5d5445664c-mw2cb,4.24,5.43,5.71,169,196,203,0.00137,0.0490,0.0692,0.00501,0.0288,0.0387
victoria-metrics-grafana-7cbb7467b4-98vx2,4.89,5.03,5.11,211,211,211,0,0.000989,0.00117,0.00943,0.000332,0.000355
