"Pod","CPU Ø (m)","CPU P95 (m)","CPU Max (m)","Mem Ø (MiB)","Mem P95 (MiB)","Mem Max (MiB)","Disk Read Ø (MiB/s)","Disk Write Ø (MiB/s)","Disk Write Max (MiB/s)","Net RX Ø (MiB/s)","Net TX Ø (MiB/s)","Net TX Max (MiB/s)"
victoria-metrics-grafana-7cbb7467b4-98vx2,4.65,5.07,5.34,211,211,211,0,0.000901,0.00101,0.00945,0.000335,0.000364
victoria-metrics-victoria-metrics-operator-769bc8b746-f2frs,2.64,2.73,2.77,48.8,50.8,51.4,,,,0.00245,0.000832,0.000989
vmalert-victoria-metrics-victoria-metrics-k8s-stack-7b7f66vnlhh,4.63,4.72,4.74,37.6,37.7,37.7,0,0,0,0.00810,0.0129,0.0131
vmsingle-victoria-metrics-victoria-metrics-k8s-stack-8445fdhsmp,6.38,6.54,6.56,61.4,64.5,68.5,0.000631,0.00663,0.00784,0.0158,0.00790,0.00798
vlsingle-victorialogs-757677f7cd-hl8q6,1.42,1.51,1.54,75.7,81.0,82.7,0.00132,0.0138,0.0150,0.000195,0.00141,0.00173
vtsingle-victoriatraces-5d5445664c-mw2cb,0.816,1.08,1.13,75.9,89.1,89.2,0.0000826,0.00101,0.00375,0.000164,0.00448,0.0229
